Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:3	lq6e		rc://*/ta/man/translate/figs-metonymy	גְּב֣וּל יִשְׂרָאֵ֑ל	1	Here, **the border of Israel** represents the entire territory of Israel. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [the territory of Israel]
1:4	fmgc		rc://*/ta/man/translate/figs-euphemism	וְ⁠הַ⁠מֶּ֖לֶךְ לֹ֥א יְדָעָֽ⁠הּ	1	The author is referring to sexual relations in a polite way by using the phrase **did not know her**. Depending on what is helpful in your language, you could use a polite way of referring to this in your language, or you could state this plainly. Alternate translation: [but the king did not make love with her]
1:5	qo3d		rc://*/ta/man/translate/writing-participants	וַ⁠אֲדֹנִיָּ֧ה בֶן־חַגִּ֛ית מִתְנַשֵּׂ֥א	1	Here and in the next verse, the author is reintroducing **Adonijah** as a participant in the story. He was first introduced in [2 Samuel 3:4](../2sa/03/04.md). The author now provides further details about his appearance and reminds readers of his birth order to help them understand what happens next in the story. Your language may have its own way of reintroducing participants that you can use in your translation.
1:5	u3im		rc://*/ta/man/translate/figs-metaphor	מִתְנַשֵּׂ֥א	1	Here the author is speaking as if Adonijah were actually **lifting himself up** or raising his physical body higher. This expression means that he believed he deserved to become the next king and began acting like an important person. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [was thinking highly of himself] or [was putting himself forward]
1:5	oesa		rc://*/ta/man/translate/writing-quotations	לֵ⁠אמֹ֖ר	1	See the discussion of the term “saying” in the introduction to 1 Kings. It introduces a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly, here or in its other instances in the book.
1:5	uw43		rc://*/ta/man/translate/writing-pronouns	אֲנִ֣י אֶמְלֹ֑ךְ	1	Adonijah is stating the pronoun **I** separately, even though the verb translated as **I will reign** already includes this meaning. He is doing that to emphasize his belief that he will be the next king. In other words, he is boasting. If a speaker of your language would use an explicit pronoun for the same purpose, you may want to use that construction in your translation. If not, your language may have other ways showing the meaning here. Alternate translation: [The next king will be me!]
1:5	qnn3		rc://*/ta/man/translate/translate-symaction	וַ⁠יַּ֣עַשׂ ל֗⁠וֹ רֶ֚כֶב וּ⁠פָ֣רָשִׁ֔ים וַ⁠חֲמִשִּׁ֥ים אִ֖ישׁ רָצִ֥ים לְ⁠פָנָֽי⁠ו	1	Having **50 men** run ahead of his **chariot** to clear the way and announce his coming was a symbolic action by which Adonijah asserted his importance. If it would be helpful to your readers, you could explain the significance of this action. If you have already translated the book of 2 Samuel, see how you translated the similar expression in [2 Samuel 15:1](../2sa/15/01.md). Alternate translation: [And he had 50 men run ahead of his chariot to show how important he was]
1:6	zhfz		rc://*/ta/man/translate/figs-metonymy	מִ⁠יָּמָי⁠ו֙	1	Here the term **days** represents a period of time, Adonijah’s lifetime, since time is made up of days. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [during his whole life]
1:6	io5w		rc://*/ta/man/translate/writing-pronouns	וְ⁠אֹת֥⁠וֹ יָלְדָ֖ה	1	The pronoun **she** refers to Haggith, Adonijah’s mother, whom the author mentions in the previous verse. It may be helpful to clarify this for your readers. Alternate translation: [and his mother Haggith had borne him]
1:6	tz0w		rc://*/ta/man/translate/figs-explicit	וְ⁠אֹת֥⁠וֹ יָלְדָ֖ה	1	The implication is that Haggith bore Adonijah to David as his next child after the birth of Absalom and that, since Absalom and David’s two older sons by different mothers were now dead, Adonijah was David’s oldest surviving son. You could include this information if that would be helpful to your readers. Alternate translation: [and he was David’s eldest surviving son]
1:7	tmhx		rc://*/ta/man/translate/figs-metonymy	וַ⁠יִּהְי֣וּ דְבָרָ֔י⁠ו	1	Here, **words** represents what Adonijah said by using words. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: [And he spoke]
1:7	lr7m		rc://*/ta/man/translate/translate-names	צְרוּיָ֔ה	1	The word **Zeruiah** is the name of a woman, one of David’s sisters.
1:7	ax5v		rc://*/ta/man/translate/figs-idiom	וַֽ⁠יַּעְזְר֔וּ אַחֲרֵ֖י אֲדֹנִיָּֽה	1	The author is using the phrase **helped after** as a common expression of his culture to mean “supported” or “joined the side of.” If this phrase does not have that meaning in your language, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [And they became Adonijah’s followers and helped him] or [And they supported Adonijah]
1:9	jou4		rc://*/ta/man/translate/grammar-collectivenouns	וּ⁠מְרִ֔יא	1	In this verse, the word **fatling** is singular in form, but it refers to many fattened animals that Adonijah sacrificed. If it would be helpful in your language, you could use the plural form of “fatling.” Alternate translation: [and fatlings]
1:9	ytkk		rc://*/ta/man/translate/figs-hyperbole	אֶת־כָּל־אֶחָי⁠ו֙ & וּ⁠לְ⁠כָל־אַנְשֵׁ֥י יְהוּדָ֖ה	1	The author is using the term **all** as a generalization in these phrases, since he indicates in the next verse that Adonijah did not invite some of the **men of Judah**, and he did not invite his brother Solomon. If it would be helpful to your readers, you could use language in your translation that shows that this is a generalization. Alternate translation: [all of his other brothers … and to all of the other men of Judah]
1:10	lmra		rc://*/ta/man/translate/translate-kinship	וְ⁠אֶת־שְׁלֹמֹ֥ה אָחִ֖י⁠ו	1	Solomon was Adonijah’s **brother** because they had the same father, David, but they had different mothers. It is also clear from the narrative that Solomon was younger than Adonijah. Your language may have its own term or expression for this relationship. Alternate translation: [or his younger half-brother Solomon]
1:11	z1n4		rc://*/ta/man/translate/figs-rquestion	הֲ⁠ל֣וֹא שָׁמַ֔עַתְּ כִּ֥י מָלַ֖ךְ אֲדֹנִיָּ֣הוּ בֶן־חַגִּ֑ית וַ⁠אֲדֹנֵ֥י⁠נוּ דָוִ֖ד לֹ֥א יָדָֽע	1	Nathan is using the question form to inform Bathsheba of something she does not know and to express his alarm. If a speaker of your language would not use the question form for those purposes, you could translate this as a statement or as an exclamation. Alternate translation: [You need to be aware that Adonijah, the son of Haggith, reigns, and our master David does not know!]
1:12	gkyc		rc://*/ta/man/translate/grammar-connect-words-phrases	וְ⁠עַתָּ֕ה	1	**And now** was an expression that speakers in this culture commonly used to introduce their main topic. Your language may have a comparable expression that you can use in your translation. You could also use plain language. The UST models one way to do that.
1:12	k742		rc://*/ta/man/translate/figs-explicit	לְכִ֛י	1	Nathan is not asking Bathsheba to **come** somewhere. He is saying **come** to encourage her to do what he suggests. Your language may have a comparable expression that you can use in your translation. Alternate translation: [go ahead]
1:12	xwcw		rc://*/ta/man/translate/writing-poetry	אִיעָצֵ֥⁠ךְ & עֵצָ֑ה	1	Nathan is using a construction in which a verb and its object come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have another way of saying this. Alternate translation: [let me give you some counsel]
1:12	n1au		rc://*/ta/man/translate/figs-imperative	וּ⁠מַלְּטִי֙	1	This is an imperative, but Nathan is using it to describe what the results would be if Bathsheba followed his counsel. Use a form in your language that indicates a result. Alternate translation: [and that way you will be able to escape]
1:13	rv42		rc://*/ta/man/translate/figs-explicit	לְכִ֞י וּ⁠בֹ֣אִי ׀ אֶל־הַ⁠מֶּ֣לֶךְ דָּוִ֗ד	1	Nathan is saying **Go** to mean that Bathsheba should take action. Your language may have a comparable expression that you can use in your translation. You could also use plain language. Alternate translation: [Take action and come to King David]
1:13	k005		rc://*/ta/man/translate/figs-go	לְכִ֞י וּ⁠בֹ֣אִי ׀ אֶל־הַ⁠מֶּ֣לֶךְ דָּוִ֗ד	1	In a context such as this, your language might say “go” instead of **come**. Alternate translation: [Take action and go to King David]
